MRK_2019.pdf,MRK_2018.pdf,MRK_2020.pdf,MRK_2021.pdf
,,"We obtain subject consent for use of genetic and genomic samples in accordance with ethical principles of human-subjects research, which include respect for persons/autonomy, beneficence and justice, Merck ESG Progress Report 2020/2021 56 Overview GRI/SASB: General disclosures Economic Environmental Social Indices consistent with the Declaration of Helsinki, U.S. FDA requirements, ICH E6 Good Clinical Practices guidelines and the 1997 UNESCO Declaration on the Human Genome and Human Rights.",
,,"When collaborating with external organizations, we ensure that consent has been obtained by individuals who have contributed DNA or RNA and/or health-related data to the organization via these same standards.",
,,"Regenerative medicine Together with the scientific community, we believe that research using stem cells has the potential to help identify medicines, therapies and vaccines to treat, cure or prevent diseases.",
,,Many of the most advanced scientific technologies in regenerative medicine involve animal or human embryonic stem cells.,
,,"For more than a decade, we have been applying advances made in stem-cell technologies to support our research and development.",
,,"The capacity of stem cells to differentiate into specific cell types underscores their versatility and utility, from early target validation and identification, to screening and testing of potential new therapeutics, disease-modeling and pre-clinical proof of concept.",
,,"We conduct research using stem cells in full accordance with all applicable laws and regulations, and our own internal research policies.",
,,"Our research policy involving stem cells adheres to the U.S. National Academy of Sciences guidelines as well as those of the International Society for Stem Cell Research.Our company’s Regenerative Medicine Oversight Committee, which comprises both internal and external experts, oversees company- sponsored research involving stem cells, including highly targeted research using human embryonic stem cells and induced pluripotent stem cells.",
,,The committee is responsible for ensuring that all projects involving stem cells adhere to our policies.,
,,"For more information on our company’s R&D, please visit the Research & Products page on our corporate website.",
,,"Maintaining a global supply network Through our manufacturing and supply division, we strive to maintain an uninterrupted, unconstrained, highest-quality global supply network.",
,,"Our supply chain is designed to ensure we operate a lean and efficient network that produces our medicines and vaccines to the highest quality, safety and environmental standards, in full compliance with regulations and Good Manufacturing Practices (cGMPs) based on U.S. and international requirements and industry best practices.",
,,"Through digitally enabled “end-to-end supply planning,” we are digitizing our shop floors and conducting efficient and balanced planning decisions to maximize business results and deliver medicines and vaccines to customers, which include hospitals, retail outlets and patients, when and where they need them.",
,,"With both an environmental and socially conscious mindset, our facilities, along with our external contractors, suppliers and partners, make up an integrated, interdependent global manufacturing network.",
,,Goal: 100% of logistics partners with a security risk assessment completed annually Goal: 95% of orders shipped on time and in full Goal: 75% of countries1 around the world reached annually with our products AchievedProgress: Exceeded target (78%)Progress: Exceeded target (98.3%)Progress: Access to health 1 As defined by the World Bank Country and Lending Groups.,
,,GRI/SASB: Merck ESG Progress Report 2020/2021 General disclosures Economic Environmental Social Indices 57 Overview Solving affordability challenges through dedicated sustainable access solutions We aspire to enable solutions and shape the ecosystem that delivers sustainable access to innovative medicines for patients.,
,,"We collaborate with different stakeholders, including private, governmental, multi- lateral and non-profit organizations, in the ecosystem to design and deliver solutions that address the access challenges at the payer, provider and patient levels.",
,,Our approach is predicated on the belief that broadening access requires sustained effort and is best achieved through solving the underlying challenges in the health care system that constrain access from care delivery to capacity and financing.,
,,"We also believe that we exist within a wider eco-system, comprising of multiple stakeholders, each playing a unique and varied role.",
,,"Therefore, key to our approach is a focus on solutions and collaboration.We have focused on making this approach systematic.",
,,"We have established a framework which is available to all our markets for assessing, designing and delivering practical solutions that solve access and affordability challenges.",
,,We have established a dedicated internal unit to systematically accelerate innovation and capture learnings across emerging markets.,
,,Through this approach we have been able to accelerate the development of innovative access solutions across the globe.,
,,We also recognize that the policy environment is critical to solving access and affordability challenges.,
,,"Therefore, we collaborate with governments, industry associations, trade and economic forums, think tanks and academia to advocate for evidence-based policy solutions.",
,,"For example, we are actively involved in the APEC Health Coalition that shares best practices and brings industry, governments and academia together to diagnose and solve pressing affordability challenges.",
,,"Similarly, we are increasing our engagement in value-based health care discussions to solve access challenges more holistically across the health care system.",
,,This engagement includes representation on the Global Innovation Hub Expert Review Committee of the World Economic Forum’s Global Coalition on Value in Healthcare.,
,,Our current portfolio of projects focused on dedicated sustainable access solutions spans across 40 countries.,
,,"These projects are in various stages of development, from diagnosing the access challenges to delivering solutions in the market.",
,,"Our market teams based in LMICs address affordability through multiple initiatives, in pursuit of innovative solutions that enable broadening of access to medicines in these countries.",
,,"For example, in LMICs, one of the recurring access challenges is the potentially high out-of-pocket costs for critical illness treatments.",
,,"Recognizing this issue, we collaborated with reinsurers and insurance companies in South Africa and Indonesia to enable them to develop affordable health insurance products for the population, including covering innovative cancer therapies.",
,,This provides much needed optionality for the population and drives greater health care inclusion.,
,,"As the reach of this insurance product further expands, we expect to solve one major access hurdle and widen access to innovative cancer therapies for patients in a commercially sustainable way.",
,,"The approach reinforces our commitment to being part of a wider ecosystem, collaborating with others with complementary capability to tackle these challenges.We expand access to our products through dedicated, market-based sustainable access solutions that expand the reach to at-need populations and patients—including those in LMICs—taking into consideration public health need, economic conditions and health care infrastructure.",
,,"Merck ESG Progress Report 2020/2021 58 Overview GRI/SASB: General disclosures Economic Environmental Social Indices Addressing barriers to health Through partnerships, investment and innovation, we apply our expertise and invest our human and financial resources to address systemic barriers to access to health where we believe our company can make the strongest contributions to health systems, communities and our patients around the world.",
,,"We provide this support in several ways, including through philanthropic social investments, key initiatives and impact investing.",
,,"To be most effective, where appropriate, we align our investments with country-led priorities and partner with governmental, multi-lateral and non-profit organizations.",
,,"Our investments are guided and approved by internal and external expert advisory bodies, including an internal advisory board for our company’s Foundation, an internal Impact Investing Council, and external expert advisory committees for the MECTIZAN Donation Program and Merck for Mothers.",
,,We are committed to measuring the impact of our efforts on improving access and therefore provide support to evaluate the impact of many of our investments.,
,,"In 2020, 10 percent of our investment in partnerships and programs to strengthen health care capacity and address barriers to access supported by our company’s Foundation was allocated to impact evaluation.",
,,"Vaccines Key accomplishments and milestones The total number of doses of our vaccines that have been distributed has increased significantly since 2010 and our global reach has also increased dramatically: in 2020 approximately 74 percent of our vaccines were distributed outside the U.S., up from 28 percent in 2010.",
,,"More than 70 million doses of two of our vaccines—GARDASIL® [Human Papillomavirus Quadrivalent (Types 6, 11, 16, and 18) Vaccine, Recombinant] and ROTATEQ® (Rotavirus Vaccine, Live, Oral, Pentavalent)—have been distributed in Gavi-eligible countries through 2019.",
,,This represents important progress toward ensuring that these vaccines reach people in low-income settings with a high burden of disease.,
,,We made progress in our efforts to help address Ebola virus disease.,
,,"In December 2019, ERVEBO® (Ebola Zaire Vaccine, Live), our vaccine to help prevent this disease, was approved by the U.S. FDA and also approved in the Democratic Republic of Congo.",
,,"As of April 2021, the vaccine has been approved in nine African countries.",
,,These approvals mark a historic moment for global public health and represent an unprecedented effort by a diverse set of partners from around the world.,
,,"On January 13, 2021, our company confirmed an agreement with UNICEF to establish the world’s first global Ebola vaccine stockpile with ERVEBO® (Ebola Zaire Vaccine, Live).",
,,This agreement represents another landmark milestone in the fight against Ebola and is the result of breakthrough innovation and collaboration across Africa and the world.,
,,"The global stockpile will offer a critical, rapid-response tool to help combat future outbreaks of this highly contagious, hemorrhagic illness that is endemic in parts of Central and West Africa.",
,,The stockpile inventory will be built over time and maintained by Merck.,
,,"While licensed supply is starting to be manufactured and built, the investigational vaccine continues to be leveraged to support international outbreak response efforts, in close collaboration with the WHO.",
,,"In the past three years, we have donated more than 300,000 doses of the investigational V920 to response efforts.",
,,"Access pricing Our company works with governments, international health and development organizations, donor groups, NGOs and others to support countries’ population health aims and help improve sustainable vaccination programs.",
,,"We use tiered pricing for vaccines as an equitable way to achieve dual objectives: to expand access for people who can benefit from vaccination; and to ensure sufficient return on investment over time to support the complex and costly research, development and manufacturing capacity necessary to create and supply new vaccines and address post-licensure regulatory requirements.",
,,"We consider a variety of factors in arriving at a price in a given country, including the local burden of disease, the health economic value of the vaccine, the country’s ability to support vaccine delivery and achieve population health coverage, its level of economic development, its fiscal capacity for investments in health and actual health spending, as well as its mechanism and policies for procuring vaccines.",
,,"In addition, we work with governments to address affordability challenges and increase system efficiencies to support the sustainability of immunization programs.",
,,GRI/SASB: Merck ESG Progress Report 2020/2021 General disclosures Economic Environmental Social Indices 59 Overview We also consider inequities in access within a country.,
,,"Where regulations and infrastructure allow, reduced pricing has been offered to support government- or donor-funded coverage of lower-economic- tier segments.",
,,"Our commitment to helping protect global health by improving the affordability, availability, accessibility and use of our vaccines around the world is fundamental to our business and overall mission.",
,,"We offer GARDASIL, which helps to protect against HPV-related diseases, at an access price that is significantly less than the value-based price in other countries.",
,,"The access price is exclusive to the public sectors of the countries eligible for support from Gavi, the Vaccine Alliance.",
,,"In 2015, we extended our current Gavi prices for GARDASIL through 2025 to Gavi-graduated countries with a per-capita gross national income (GNI) not exceeding $3,200.",
,,"This action greatly assists Gavi-transitioned countries by facilitating access to these vaccines in those countries, while also making sure they remain affordable and sustainable in the long term.",
,,"In the short period of time since we made our price commitment to countries transitioning out of Gavi support, numerous countries have taken advantage of the offer to introduce or continue existing national HPV vaccination programs.",
,,We also remain actively engaged with Gavi on policy efforts to improve access to vaccines in Gavi-transitioned countries.,
,,"We believe that our pricing approach contributes to broader access to our vaccines while taking into account our need to continue investing in vaccine research, development and production.",
,,"Manufacturing and supply In the last few years, countries around the world have enacted new or expanded vaccination programs.",
,,This has contributed to an unprecedented increase in global demand for vaccines.,
,,We are committed to increasing our capacity and supply capability.,
,,"Our commitment to invest in capital projects over five years has increased to $20 billion, with a significant portion dedicated to vaccines.",
,,"In fact, in 2019, we supplied our highest ever quantity of vaccines globally.",
,,"We continue to invest in manufacturing and end-to-end supply improvements in both capability and capacity to help ensure a sustainable, reliable supply of quality and affordable vaccines to serve global needs.",
,,"Our manufacturing division continuously works to improve manufacturing processes and reduce operating costs by increasing efficiency, minimizing procurement spending and improving supply performance.Maintaining product quality is paramount.",
,,"To provide high-quality vaccines to people who need them, we manage our supply chain through policies and procedures designed to keep the distribution system secure.",
,,We continue to explore potential strategic partnerships with other manufacturers to increase supply and promote greater access in local markets.,
,,"COVID-19 manufacturing agreements In response to the COVID-19 pandemic, we have entered into multiple agreements to support efforts to expand the manufacturing capacity and supply of COVID-19 medicines and vaccines.",
,,"Under our agreement with the Biomedical Advanced Research and Development Authority (BARDA), a division of the Office of the Assistant Secretary for Preparedness and Response (ASPR) within the U.S. Department of Health and Human Services (HHS), we will receive funding to adapt and make available a number of existing manufacturing facilities for the production of COVID-19 vaccines and medicines.",
,,"Under separate agreements with Janssen Pharmaceuticals, Inc., one of the Janssen Pharmaceutical Companies of Johnson & Johnson, we will support the manufacturing and supply of Johnson & Johnson’s COVID-19 vaccine, using our facilities in the U.S. to produce drug substance, formulate and fill vials.",
,,Registration and prequalification We seek to ensure global access to our vaccines by obtaining and maintaining up-to-date product registrations around the globe.,
,,"Additionally, we seek to obtain WHO prequalification so that our vaccines may be easily obtained and distributed to underserved populations across some of the world’s poorest countries.",
,,"On November 12, 2019, we obtained WHO Prequalification for our vaccine ERVEBO to help prevent disease caused by Ebola Zaire virus in adults.",
,,The table below summarizes the registration and WHO prequalification status of a select list of our vaccines.,
,,"In addition to having our medicines and vaccines approved by stringent regulatory authorities, when relevant to enhancing access in low- and middle-income countries, we also work to have certain medicines and vaccines prequalified through the WHO prequalification process.",
,,WHO prequalification can facilitate product procurement by international procurement agencies.,
,,"WHO’s prequalification program covers medicines for HIV, tuberculosis (TB), malaria, neglected Merck ESG Progress Report 2020/2021 60 Overview GRI/SASB: General disclosures Economic Environmental Social Indices tropical diseases, influenza, reproductive health and diarrhea, in addition to vaccines.",
,,"In the absence of reliable national medicine authorities that can certify health care products meet required quality, safety and efficacy standards, stringent regulatory authority and WHO prequalification can serve as a basis for quality assurance for procurement by international agencies and national programs in lower-income countries.",
,,We have made efforts to address the unique needs of low-income countries where the infrastructure and personnel to deliver immunization services can be severely limited.,
,,A specific emphasis has been on making improvements to products in a way that make them compatible to the Programmatic Suitability Criteria for vaccines candidates for WHO Prequalification (PSPQ).,
,,"These features include vaccine vial monitors (VVMs), the acceptability of a two-dose regimen for HPV vaccines and use in controlled-temperature-chain conditions.",
,,"In order to make our products available to the people who need them throughout the world, we registered 79 products and devices in 2020.",
,,"The majority of these products were registered in low- and middle- income countries in the Asia-Pacific, Central and Eastern Europe, Middle East and Africa, and Americas regions.",
,,"For more information on our Access to Health Guiding Principles, and related key performance indicators, please visit the ESG Resources page on our corporate website.",
,,"GARDASIL® [Human Papillomavirus Quadrivalent (Types 6, 11, 16 and 18) Vaccine, Recombinant]GARDASIL® 9 (Human Papillomavirus 9-valent Vaccine, Recombinant)ROTATEQ® (Rotavirus Vaccine, Live, Oral, Pentavalent)M-M-R®II (Measles, Mumps & Rubella Virus Vaccine Live)VARIVAX® (Varicella Virus Vaccine Live)ERVEBO® (Ebola Zaire Vaccine, Live) Product is WHO prequalified Yes Yes Yes Yes Yes Yes Date of prequalification May 20, 2009February 9, 2018October 7, 2008January 6, 2009February 9, 2018November 12, 2019 Approximate number of countries where product is registered (as of April 2021)132 85 126 81 85 40U.S.",
,,product pricing We have a long history of making our medicines and vaccines accessible and affordable through responsible pricing practices and industry‐leading patient access programs.,
,,"In 2017, we began disclosing information about the price of our medicines in the U.S. We are working to bring our medicines and vaccines to more people around the world in ways that are as accessible and affordable as possible for the patients who need them.",
,,"While each individual situation varies based on factual circumstances and market dynamics, generally we consider: • Value provided to patients • Value provided to health care systems • Unmet need • Access • R&D sustainability • Competition GRI/SASB: Merck ESG Progress Report 2020/2021 General disclosures Economic Environmental Social Indices 61 Overview In our fifth consecutive report, our 2020 U.S. Pricing Transparency Report shows an average annual net price decrease of our products of 0.9 percent in 2020.",
,,The report also shows that our annual average list price increases across our portfolio have gone down each year for the past six years.,
,,"For example, in 2020, the average annual list price across our portfolio increased by 3.1 percent as compared with a 4.3 percent increase in 2019.",
,,"In 2020, our gross U.S. sales were reduced by 45.5 percent as a result of rebates, discounts and returns.Medicine Assistance Tool As a demonstration of our commitment to helping low-income, uninsured patients gain access to our medicines and adult vaccines, we also participate in Pharmaceutical Research and Manufacturers of America’s Medicine Assistance Tool (MAT).",
,,"MAT is a search engine designed to help patients, caregivers and health care providers learn more about access resources available through the various biopharmaceutical industry programs.",
,,"MAT helps eligible patients get free or nearly free brand name medicines through a single website that provides information for and access to public and private patient assistance programs, including programs offered by biopharmaceutical companies.",
,,"To date, this tool has helped millions of Americans get free or reduced-cost prescription medicines.",
,,"Merck ESG Progress Report 2020/2021 62 Overview GRI/SASB: General disclosures Economic Environmental Social Indices U.S. product portfolio pricing1,22016 2017 2018 2019 2020 List price change (wholesale acquisition cost) vs prior year39.6% 6.6% 5.5% 4.3% 3.1% Net price change vs prior year45.5% (1.9%) 2.99% 1.8% (0.9%) Average discount540.9% 45.1% 44.3% 43.7% 45.5% Note: The amount of rebates, discounts and returns is estimated by the company and methodologies used may differ from methodologies used by other companies.",
,,This data is not audited and should be read in conjunction with the company’s filings with the U.S. Securities and Exchange Commission.,
,,1 U.S.,
,,"Product Portfolio includes human health pharmaceutical and vaccine products marketed by the company, excluding partnered products.",
,,The product sales utilized in the analysis represent ~97 percent of the total U.S.,
,,Product Portfolio in 2010 and approached 99.5 percent of coverage in 2020.,
,,2 Annual percent change vs. prior year was calculated at a product level and weighted across the company’s U.S.,
,,Product Portfolio.,
,,3 Represents the year‐over‐year change in the average list price or wholesale acquisition cost (WAC).,
,,"4 Represents the year‐over‐year change in average net price, which is WAC less rebates, discounts and returns.",
,,"5 Weighted average annual discount is calculated by dividing annual rebates, discounts and returns by annual gross sales.",
,,"For more information, you may also see our Pricing and Access Position Statement on our corporate website.",
,,Patient assistance programs summary 2016 2017 2018 2019 2020 Patients utilizing our U.S.,
,,"Patient Assistance Programs1306,000 244,000 233,000 239,000 189,500 30-day prescriptions filled (in millions) 1.7 2.1 2.1 2.2 1.6 1 Totals represent 2016–2020 volumes of our U.S.",
,,Patient Assistance Program.,
,,Volumes vary across years based on changes in covered product offerings and changes across the health care landscape.,
,,Volumes in 2020 reflect a decline as a result of the COVID-19 pandemic with fewer patients visiting their health care providers for care and prescriptions.,
,,"Affordability 2019 2020 Number of countries where dedicated affordability solutions have been initiated* 40 40 People reached globally through product donation and patient assistance programs and partnerships1,2 (estimate in millions)*404 268 Number of patents filed in low-income countries, as defined by The World Bank in its country and lending groups classifications (annual)* 0 0 * New key performance indicators (KPI) reported in 2019 to support refreshed Access to Health Guiding Principles.",
,,1 Estimate includes product donations through our company’s Office of Social Business Innovation and patient assistance program.,
,,2 The significant decrease in people reached in 2019 vs 2020 is due to postponed mass drug administration programs as well as shipping delays as a result of the pandemic in 2020.,
,,"GRI/SASB: Merck ESG Progress Report 2020/2021 General disclosures Economic Environmental Social Indices 63 Overview Product registration 2016 2017 2018 2019 2020 New product and device registrations (annual)1,2143 143 124 97 79 Products submitted that have achieved WHO prequalification (cumulative)311 13 13 13 13 Number of patent applications filed in low-income countries4NR NR NR 0 0 NR: Not reported 1 Data include new products and new indications.",
,,2 Data for all years have been updated based on a tracking system upgrade that corrected miscounts in prior years.,
,,3 CRIXIVAN® (indinavir sulfate) was removed from our product list in 2019 and is no longer included in the total number of products that have achieved WHO prequalification.,
,,"4 Countries classified as low-income countries in the 2019 World Bank Country and Lending Group classifications.GRI 203-1 Infrastructure investments and services supported GRI 203-2 Indirect economic impacts Merck ESG Progress Report 2020/2021 64 Overview GRI/SASB: General disclosures Economic Environmental Social Indices Products prequalified by WHOInternational Nonproprietary Name (INN) Date of prequalification Family planning1,2 MARVELON 28® Ethinylestradiol + Desogestrel September 2010 EXLUTON® Lynestrenol June 2010 IMPLANON NXT® Etonogestrel May 2013 Vaccines MMR-II® Measles, Mumps, Rubella Virus Vaccine Live January 2009 ROTATEQ® Rotavirus Vaccine, Live, Oral, Pentavalent October 2008 GARDASIL® Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant (including a VVM) May 2009 GARDASIL® Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant (two-dose regimen to support its programmatic feasibility in developing countries) October 2014 GARDASIL® Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant (compatibility for use in a controlled temperature chain to facilitate its administration in high-temperature, low-cold-chain infrastructure areas of developing countries) May 2016 GARDASIL®9 Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant (including a two-dose-regimen variation) 3February 2018 VARIVAX® Varicella Virus Vaccine Live (first varicella vaccine to receive WHO prequalification) February 2018 ERVEBO® Ebola Zaire Vaccine, Live November 2019 HIV/AIDS treatments STOCRIN® Efavirenz (600mg tablet, Oral Solution 30mg) Efavirenz (50mg tablet, 200mg tablet)May 2006 May 2008 1 Source: Medicines/Finished Pharmaceutical Products | WHO - Prequalification of Medical Products (IVDs, Medicines, Vaccines and Immunization Devices, Vector Control) 2 As of June 2, 2021, our family planning products have been spun off to Organon.",
,,"3 Not currently available through UNICEF procurement; awaiting Vaccine Vial Monitor (VVM).Below is a list of products that have been prequalified by WHO as of April 1, 2021.",
,,GRI/SASB: Merck ESG Progress Report 2020/2021 General disclosures Economic Environmental Social Indices 65 Overview Access initiatives We have made substantial contributions to strengthening health systems and access to health through long-standing key initiatives.,
,,"These initiatives include Merck for Mothers, the MECTIZAN® Donation Program and our company’s Medical Outreach Program (MMOP).",
,,Merck for Mothers Merck for Mothers is our company’s $500 million global initiative to help create a world where no woman has to die while giving life.,
,,"For nearly a decade through Merck for Mothers, we have brought Merck’s scientific and business expertise to help improve maternal health outcomes.",
,,Our efforts are focused on generating fresh thinking and infusing new approaches to help end the longstanding challenge of maternal mortality.,
,,We focus on strengthening health systems to sustain the delivery of high-quality maternity care services that benefit women and their communities.,
,,"With our grantees and collaborators, we are improving health systems for women today and for the long term by advancing quality standards, catalyzing solutions that respond to community needs and harnessing innovations for maternal health.",
,,"For more information, please visit the Merck for Mothers website.",
,,The MECTIZAN® Donation Program The MECTIZAN® Donation Program (MDP) is the longest-running disease-specific drug donation program and partnership of its kind and is widely regarded as one of the most successful public-private health collaborations in the world.,
,,"MDP operationalizes the commitment our company made in 1987 to donate MECTIZAN for the treatment of onchocerciasis (also known as river blindness) to all who need it, for as long as needed.",
,,"Since then, the program has expanded to include additional commitments to donate MECTIZAN for the treatment of lymphatic filariasis.",
,,"Since the program’s inception, our company has donated more than 4 billion MECTIZAN treatments.",
,,"In addition to providing direct access for communities in need of treatment, the program has made significant impacts on health systems in some of the hardest-to-reach communities.",
,,"For more information on our efforts, please see the MECTIZAN story on Merck.com.",
,,"Merck ESG Progress Report 2020/2021 66 Overview GRI/SASB: General disclosures Economic Environmental Social Indices MECTIZAN Donation Program 2016 2017 2018 2019 2020 Direct financial investment in the program (in millions)1, 2$3.74 $3.10 $2.20 $3.10 $2.74 Total treatments approved (in millions) 283 300 346 403 417 Treatments approved for river blindness (in millions) 64 97 111 131 139 Treatments approved for lymphatic filariasis (LF) in river blindness endemic countries (in millions)141 89 140 141 141 Treatments approved for joint river blindness and LF programs (in millions) 78 114 83 70.7 75 Treatments approved for lymphatic filariasis (LF) in countries not endemic for river blindness2N/A N/A 12 60 62 River blindness endemic countries where elimination of LF has been validated by the World Health Organization (target: 30)0 1 1 2 3 Latin American countries where the elimination of river blindness has been verified by the World Health Organization (target: 6)3 4 4 4 4 1 Direct investment includes operational support and grants.",
,,"2 Following our company’s commitment in 2017 to expand the donation of Mectizan to support the implementation of triple-therapy for the elimination of LF in certain settings, the Mectizan Donation Program expanded in 2018 to include donations for LF elimination in countries not endemic for river blindness.",
,,GRI/SASB: Merck ESG Progress Report 2020/2021 General disclosures Economic Environmental Social Indices 67 Overview Medical Outreach Program Our company’s Medical Outreach Program (MMOP) is the primary means through which we donate pharmaceuticals and vaccines for humanitarian assistance in the developing world and in support of disaster relief worldwide.,
,,"The MMOP helps expand access to our products, particularly in developing countries, by donating pharmaceuticals and vaccines to a limited number of qualified, U.S.-based NGO partners.",
,,"The scope and reach of the MMOP varies from year to year and is influenced by changing medical needs in developing countries, the quantity of our medicines available for donation and the unpredictable nature of emergencies or disasters.",
,,"For more information, please visit the MMOP page on our corporate website.",
,,"Merck Medical Outreach Program (MMOP) 2016 2017 2018 2019 2020 Countries and territories reached by the MMOP 55 62 72 56 46 Estimated number of people reached1, 2, 3109,400 376,300 349,570 457,520 283,100 Disaster relief (product) contributions (in millions)4$13.41 $19.91 $12.76 $15.38 $11.2 1 Estimated figures, which assume all product reached patients, are based on converting volume of medicines and vaccines donated.",
,,Conversion factors for this estimate were developed using a combination of QuintilesIMS SMART Data and U.S. product information found on our company’s product website.,
,,2 Inhalation brands were analyzed differently after 2016.,
,,Prescriber Information dosing information was used to calculate total doses for one year for chronic asthma patient and assumes splitting inhalers.,
,,3 Decline in patients reached in 2020 primarily due to a decrease in topical corticosteroid medicine donations.,
,,4 We set the value of our product donations based on the U.S. wholesale acquisition cost.,
,,"Merck ESG Progress Report 2020/2021 68 Overview GRI/SASB: General disclosures Economic Environmental Social Indices Disaster relief 2016 2017 2018 2019 2020 Total giving value of disaster relief contributions (cash and products, in millions)1, 2$13.4 $23.9 $10.2 $16.7 $20.3 1 Funding provided through the Office of Social Business Innovation.",
,,2 We set the value of our product donations based on the U.S. wholesale acquisition cost.Disaster relief Our company is committed to supporting communities around the world that are affected by natural disasters.,
,,"We look to local authorities and humanitarian relief agencies to first assess need and then respond in a timely, coordinated manner.",
,,We provide aid through financial and product donations to meet the immediate needs of affected communities.,
,,"GRI/SASB: Merck ESG Progress Report 2020/2021 General disclosures Economic Environmental Social Indices 69 Overview Addressing barriers to health 2016 2017 2018 2019 2020 Health care workers trained through major programs and partnerships (estimate)132,000 74,000 67,000 68,000 78,000 Annual investment in partnerships, programs and impact investments that support health care capacity-building and address underlying barriers to access to health (in millions)1$28 $40 $37 $63 $49 People reached through investment in partnerships, programs and impact investment that support health care capacity- building and address underlying barriers to access to health1,2 (estimate in millions)293 311 357 422 285 Percentage of investment in partnerships and programs to strengthen health care capacity and address barriers to access, that is allocated to impact evaluation3NR NR NR 10% 10% Investment in patient-and-provider education programs (in millions)$80 $90 $115 $102 $96 NR: Not reported 1 Represents investments made by our Office of Social Business Innovation.",
,,2 The significant decrease in people reached in 2019 vs 2020 is due to postponed mass drug administration programs as well as shipping delays as a result of the pandemic in 2020.,
,,3 Percentage calculated based on total investments in partnerships and programs to strengthen health care capacity and address barriers to access supported through our company’s Foundation.,
,,Philanthropic social investments Our philanthropic social investments address underlying barriers to access to health and help advance health equity around the world.,
,,"Our approach to these investments is guided by several key principles: addressing critical global health needs where we can have a meaningful impact; promoting health equity by addressing health disparities in vulnerable, underserved communities; collaborating with diverse partners to build healthier, stronger communities; and leveraging our range of resources (financial, product, and expertise) to achieve greater impact on population health outcomes.",
,,"Established in 1957, our company’s Foundation is funded entirely by the company and is our chief source of financial support for qualified, eligible nonprofit organizations whose programs align with our philanthropic priorities.",
,,Our company and Foundation support innovative programs and partnerships to improve the health and wellbeing of people around the world.,
,,"Through these programs, we believe that by working closely with others—governments, donors, patient groups, health care professionals, NGOs, academic institutions, multilateral agencies and the private sector—we can help strengthen health systems and improve population health outcomes.",
,,"For more information on our philanthropy programs, please visit the Philanthropy page on our corporate website.",
,,For information on philanthropic programs specific to our Animal Health business please visit our Merck Animal Health website.,
,,"We recognize that our company’s success depends in large part on our relationships and interactions with local communities, including Merck ESG Progress Report 2020/2021 70 Overview GRI/SASB: General disclosures Economic Environmental Social Indices community leaders, nonprofit organizations, local businesses, schools, elected officials and local media.",
,,The communities where we operate are home to our workforce as well as many of our suppliers.,
,,It is critical to understand the concerns and needs of our communities and address local challenges so that we can help build stronger communities and support the sustainability of our business.,
,,"We contribute to the economy of local communities directly and indirectly through employment, training, support of local suppliers, local R&D and paying taxes.",
,,"We also strive to have a positive impact on communities by protecting the environment, maintaining safe operations and respecting human rights.",
,,Our community engagement programs aim to strengthen communities where our employees live and work by helping address critical health and social needs.,
,,Our Neighbor of Choice (NOC) grants program supports the work of local nonprofit organizations dedicated to promoting the wellbeing of community residents in areas where we have a major presence.,
,,"Additionally, our company’s Partnership for Giving (P4G) matching gift program doubles the donations made by employees in the U.S. and Puerto Rico to causes that are important to them.",
,,"Through a dollar-for-dollar match of employee contributions, our company’s Foundation supports nonprofits that promote a healthier society, advance education, foster the arts, address the welfare of animals and preserve the environment.",
,,"GRI/SASB: Merck ESG Progress Report 2020/2021 General disclosures Economic Environmental Social Indices 71 Overview Grants and contributions 2016 2017 2018 2019 2020 Grants and contributions (total cash, in-kind and product) (in millions)1$2,238 $2,722 $2,793 $3,096 $2,890 Cash grants and contributions (in millions) $117 $94 $84 $82 $104 Product donations through U.S.",
,,"Patient Assistance Program (in millions)$798 $1,112 $1,242 $1,460 $1,600 Product donations for ex-U.S. programs and U.S. disaster relief (in millions)2$1,320 $1,513 $1,464 $1,550 $1,280 Valuation of employee volunteer time (in-kind, in millions)3,4$2.6 $3.2 $3.1 $4.1 $1.0 1 Due to shipping delays in 2020, some product donations approved in 2020 were shipped in 2021.",
,,"2 Includes our Medical Outreach Program (including U.S. disaster relief), the African Comprehensive HIV/AIDS Partnerships (2016 only), the MECTIZAN® Donation Program and MSD division and subsidiary donations.",
,,3 Includes valuation of volunteer time for only those employees who participated in the MSD Fellowship for Global Health program and our company’s Pro Bono Legal and other skills-based volunteer programs.,
,,4 2020 decrease in employee volunteering valuation is due to the temporary suspension of the MSD Fellowship for Global Health Program and decreased in-person volunteering as a result of COVID-19.,
,,"Partnership for Giving (P4G) 2016 2017 2018 2019 2020 Total contribution (in millions)1, 2$26 $25 $22 $15.1 $19.3 Number of organizations that benefited36,200 8,770 7,350 5,645 6,468 Number of employee participants48,200 8,302 6,503 5,083 5,396 1 Total contribution includes Foundation matching funds for Dollars for Doers and P4G matching gift programs, and 2020 active-employee participant funds donated through the P4G Direct Giving program.",
,,2 2020 increase is largely due to increase in employee giving and matching gifts to support COVID-19 response efforts.,
