JPM_2019.pdf,JPM_2018.pdf,JPM_2020.pdf,JPM_2021.pdf,JPM_2022.pdf
,,This section focuses on the operational components of our sustainability strategy.,,
,,"For more on how we are managing the environmental and social risks associated with our financing activities, see page 14 ; for more about how we are helping accelerate the transition to a low- carbon economy, see page 47 .",,
,,"Our Operational Sustainability Targets We have developed the following targets to drive progress on operational sustainability: Maintain carbon neutral operations annually, starting in 2020Source renewable energy for 100% of our global power needs annually, starting in 2020Reduce Scope 1 and Scope 2 greenhouse gas emissions by 40% by 2030 vs. a 2017 baseline Satisfy at least 70% of our renewable energy goal with on-site renewable energy and off-site long-term renewable energy contracts by 2025Transition our entire owned fleet of vehicles to electric vehicles by 2025Reduce global water consumption by 20% by 2030 vs. a 2017 baseline Reduce office paper use by 90% by 2025 vs. a 2017 baselinePurchase 100% of our paper from certified sources by the end of 2021Divert 100% of e-waste from landfills Achieving Carbon Neutral Operations In 2020, we committed to become carbon neutral across our operations.",,
,,Our commitment includes Scope 1 (direct) greenhouse gas (GHG) emissions from building operations and company-owned aircraft and vehicles; Scope 2 (indirect) GHG emissions from purchased electricity; and Scope 3 (indirect) GHG emissions associated with business travel.,,
,,We are committed to maintaining carbon neutral operations each year going forward.,,
,,Our strategy to achieve — and maintain — carbon neutral operations is focused on the following: ] Improving efficiency.,,
,,Reducing the amount of energy we use is our first priority; we have undertaken a range of energy efficiency measures across our operations and plan to implement additional improvements in the coming years. ],,
,,Sourcing renewables.,,
,,"Next, we are focused on installing on-site renewable energy systems at JPMorgan Chase properties and executing long-term renewable energy procurement agreements (e.g., Power Purchase Agreements and green power supply contracts). ]",,
,,Purchasing Energy Attribute Certificates (EACs) and carbon offsets.,,
,,"Finally, for the remainder of our direct and indirect emissions, we are purchasing applicable EACs (e.g., Green-E certified Renewable Energy Certificates [RECs], International-RECs) and verified carbon offsets (see page 31).",,
,,"28 2020 Environmental, Social & Governance ReportOur 2020 Operational GHG Footprint JPMorgan Chase’s operational GHG footprint stems from two primary activities: powering our buildings (e.g., electricity, heating and cooling) and business travel.",,
,,"Scope 2 emissions, from purchased electricity, are the largest driver of our building-related emissions and overall operational GHG footprint.",,
,,The majority of our business travel-related emissions are Scope 3 emissions from commercially operated air and rail; reimbursed personal vehicle and rental car travel; and hotel stays.,,
,,A small portion of our business travel emissions are Scope 1 emissions from company-owned aircraft and vehicles.,,
,,"Direct emissions from owned or controlled sourcesScope 1 Indirect emissions from the generation of purchased electricityScope 2(a) Other indirect emissions sources(b)Emissions Sources(c)Carbon Neutral StrategiesScope 3 69,570 MtCO2e(d)9% 660,601 MtCO2e(d)86% 36,169 MtCO2e(d)5% Reduce business travel Purchase verified carbon offsetsPurchased electricity for owned and leased facilities for which the firm controls the energy usage and pays the utility bills Reduce energy consumption Install on-site renewable energyExecute long-term renewable energy procurement agreements Purchase applicable EACs and verified carbon offsetsFuel oil to heat buildings, diesel to run generators, jet fuel for company-owned aircraftBusiness travel, including air, rail, reimbursed personal vehicle and rental car travel, as well as hotel stays Reduce energy consumption Procure low-carbon fuels (e.g., sustainable aviation fuel) Purchase verified carbon offsets (a) Scope 2 emissions are location based (b) Includes business travel(c) List is not exhaustive(d) Metric tons of carbon dioxide equivalent Buildings, Branches and Data Centers The largest contributor to our operational GHG footprint is purchased electricity, which is why our strategy for carbon neutral operations is principally focused on reducing energy use and sourcing renewable energy.",,
,,"To that end, in 2017, we set a goal to source renewable energy for 100% of our global power needs on an annual basis, beginning in 2020.",,
,,We met our goal in 2020 by generating and purchasing renewable energy and corresponding EACs in an amount equivalent to the total megawatt hours (MWh) of electricity that our firm consumed globally throughout the year.,,
,,We intend to maintain our commitment to carbon neutral operations — and to do so in a way that maximizes positive impact.,,
,,"Moving forward, we will continue to support the development of renewable energy, including by installing on-site renewable energy systems and executing long-term renewable energy procurement agreements.",,
,,"We have set a goal that these solutions will make up 70% or more of our renewable energy procurement, with the remainder satisfied by applicable EACs.",,
,,"In parallel, to drive progress in efficiency and reduce our energy use, in 2021 we announced a new target to cut our Scope 1 and Scope 2 (location-based) emissions by 40% by 2030, over our 2017 baseline.",,
,,"29 2020 Environmental, Social & Governance ReportHighlights of our efforts include the following: ] Energy efficiency.",,
,,We have implemented a number of efficiency measures across our operations.,,
,,"For example, we have installed LED lighting systems at approximately 4,300 branches and 50 commercial offices, reducing lighting-related electricity consumption at each building by an estimated 50%.",,
,,"We have also installed energy-efficient building management systems at over 3,400 branches to better control and monitor energy use at each location.",,
,,"In addition, we recently piloted an artificial intelligence-based building management system overlay, which will provide real-time data and insights to help us further reduce our energy use and GHG footprint of our commercial buildings. ]",,
,,On-site renewable energy.,,
,,"Since 2017, we have installed on-site solar generation systems across our global operations, where feasible.",,
,,"This includes installing approximately 30 megawatts (MW) of solar capacity across 900 branches, which are expected to provide about 35% of each location’s power needs.",,
,,"In addition, during 2020 we began installing an additional 12 MW of carport solar capacity at our corporate campus in Columbus, Ohio.",,
,,"Combined with the existing rooftop array, the site will have approximately 14.8 MW of solar capacity and will be able to generate about 75% of its annual power needs.",,
,,"We also recently completed construction of a 2 MW solar array at our Bournemouth, England, campus, which, in combination with thermal energy storage, provides enough energy to power the entire campus during the day.",,
,,"All told, we currently have plans to install 40 MW of solar capacity across our corporate office buildings in the U.S. and the U.K. ] Off-site renewable energy.",,
,,"Throughout the past year, we signed additional long-term agreements to purchase renewable energy.",,
,,"For example, in 2020 we collaborated with Brookfield Renewable to purchase electricity from hydroelectric sources equivalent to the amount needed to power over 500 facilities, or 90% of our operations, in New York state.",,
,,"This project also pilots an innovative, blockchain-based technology that will match our electricity demand across the state with power generated from Brookfield Renewable’s hydroelectric facilities in real time.",,
,,"We also collaborated with Algonquin Power & Utilities Corp. on the development of a 108 MW, 22-turbine wind farm in Lee County, Illinois, that will bring almost 350,000 MWh of clean energy to the U.S. grid per year.",,
,,"JPMorgan Chase will purchase approximately 70% of the wind farm’s energy output, equivalent to about 14% of our energy needs globally.Business Travel Business travel represented approximately 5% of our operational GHG emissions in 2020.",,
,,"During the year, our firm’s business travel was significantly reduced compared to previous years due to the COVID-19 pandemic and, going forward, our objective is to minimize travel when possible by leveraging virtual technology.",,
,,"When we do travel, we aim to reduce our emissions by leveraging lower-carbon options, including by transitioning our entire owned vehicle fleet to electric by 2025.",,
,,"For the remainder of our travel-related emissions, we will purchase verified carbon offsets.",,
,,"In 2020, we expanded the scope of business travel we report — and offset — beyond commercially operated air and rail to include reimbursed personal vehicle and rental car travel, as well as hotel stays.",,
,,"Another way we are working to leverage lower-carbon solutions for our business travel is by seeking to accelerate investment in sustainable aviation fuels (SAF), which have the potential to reduce the carbon intensity of flying by more than 80% compared with conventional jet fuel.",,
,,"In early 2021, we became a founding member of the Sustainable Aviation Buyers Alliance, an initiative working to establish a SAF certificate trading system, which will enable companies like ours that are unable to directly purchase SAF to buy the resulting emission reductions for use toward our sustainability goals — ultimately increasing the demand signal to the SAF market and incentivizing the production of more SAF.",,
,,"In addition, to further demonstrate our support of and demand for SAF, JPMorgan Chase’s corporate flight department helped bring one of the first truckloads of SAF to the Greater New York metropolitan area — making us the first company to partner with our aviation fuel supplier to take such a delivery of SAF.",,
,,"30 2020 Environmental, Social & Governance ReportOur Approach to Carbon Offsets Carbon offsets are an important tool that enables companies to invest in projects that reduce GHG emissions and, in many cases, create valuable social and community co-benefits.",,
,,"At JPMorgan Chase, we purchase offset credits to address emissions that we are unable to abate through efficiency improvements or other measures.",,
,,"We purchase offset credits that have been certified by accredited third parties, which means they are real, additional and independently verified.",,
,,"We also strive to source offset credits that are generated from projects located in areas where JPMorgan Chase has a presence, and that have additional co-benefits.",,
,,"Reducing Waste and Sourcing Responsibly Responsible resource and waste management are important elements of our sustainability strategy, helping us reduce our impacts while improving efficiency and reducing costs.",,
,,"Our focus is on reducing our water and waste footprint, coupled with responsible disposal of the waste we produce.",,
,,"To drive progress in these areas, in 2021 we set new targets to reduce our water consumption by 20% by 2030 and internal paper use by 90% by 2025 compared with 2017 baselines.",,
,,"And we have also committed that by the end of 2021 we will source 100% of our paper from certified sources, meaning the products come from responsibly managed forests that provide environmental, social and economic benefits.",,
,,"We work to recycle paper, as well as non-paper waste, throughout our buildings and branches where recycling services are available and economically feasible.",,
,,"We are working to optimize existing recycling services, expand such services to new locations and explore opportunities to bring composting services to more of our corporate locations with cafeterias.",,
,,"We also carefully select vendors to dispose our e-waste responsibly, with 100% diverted from landfills.",,
,,We recognize that the environmental and social impact of our operations extends to our suppliers.,,
,,"As such, we seek to do business with suppliers that share our values and commitment to making a positive impact in the communities where we operate.",,
,,"We encourage our suppliers to develop internal programs, as well as targets, to foster a culture of sustainability.",,
,,"We expect them to conduct their operations in a manner that protects the environment by making reasonable efforts to meet industry best practices and standards with respect to the reduction of energy use, GHG emissions, waste and water use.",,
,,"31 2020 Environmental, Social & Governance ReportENVIRONMENTAL DATA 2020 2019 2018 2017 Global employee headcount 255,351 256,981 256,105 252,539 Rentable square feeta 58,940,565 5 7,205,977 57,584,466 58,140,356 GHG Emissions (MtCO 2e)b Scope 1 — directc 69,570 81,655 83,101 78,229 Natural gas 39,332 46,183 46,488 40,696 Propane 149 283 276 233 Fuel oil 2,994 2,471 3,323 3,081 Jet fuel 4,013 8,323 8,412 8,916 Fugitive emissions 23,082 24,395 24,602 25,303 Scope 2 (location) — indirect 660,601 692,299 739,458 770,704 Purchased electricity 656,414 686,626 731,120 763,828 Purchased steam and chilled water 4,187 5,673 8,338 6,876 Total Scope 1 and Scope 2 (location) 730,171 773,955 822,559 848,933 Scope 2 (market) — indirect 4,187 556,142 572,067 596,843 Purchased electricity – 550,469 563,728 589,967 Purchased steam and chilled water 4,187 5,673 8,338 6,876 Total Scope 1 and Scope 2 (market) 73,757 637,798 655,167 675,073 Scope 3 (category 6 — business travel) 36,169 181,004 176,356 187,020 Total emissions: Scope 1, 2 (market) and 3 109,926 818,802 831,524 862,092 Verified carbon offset emissions reductions 109,926 189,327 184,769 175,155 Net emissions: Scope 1, 2 (market) and 3 – 629,474 646,755 686,937 Renewable Power (MWh) Electricity production (on-site solar and fuel cells) 17,172 7,743 13,290 6,472 Contractual instrumentsd 1,679,213 380,901 375,280 370,801 Proportion of power use from renewable sources (production and instruments) 100% 22% 22% 21% Energy Consumption (MWh) Direct Energy Natural gas 216,862 254,794 256,623 224,119 Propane 692 1,314 1,281 1,081 Fuel oil 2,013 9,849 13,248 12,283 Jet fuel 14,965 31,833 32,172 33,447 Indirect Energy Purchased electricity 1,693,143 1,759,170 1,787,344 1,823,121 Purchased steam and chilled water 15,052 25,317 37,143 30,645 Total 1,942,728 2,082,277 2,127,812 2,124,697 Water Consumption (m3) U.S. operationsb 5,035,089 5,091,865 5,731,976 5,611,797 a JPMorgan Chase utilizes an operational control approach to establish boundaries for our GHG inventory.",,
,,This includes owned and leased facilities for which we control the energy usage and pay the energy/utility bills directly to the respective utility.,,
,,"b Scope 1, 2 and 3 emissions and water consumption have been verified by a third party.",,
,,See ESG Report Appendices for verification statements.,,
,,Other data has not been subject to external verification.,,
,,c Scope 1 emissions include emissions from corporate air travel.,,
,,"In 2020, business travel-related emissions from reimbursed personal vehicle and rental car travel, and hotel stays, were added to the scope.",,
,,"In 2019, rail travel was added to the scope.",,
,,"In previous years, only commercial air travel was included.",,
,,"d Contractual instruments include RECs from the Buckthorn wind farm PPA, Bengaluru Physical PPA, U.K. renewable energy guarantees of origin (REGOs), Brookfield NY renewable electricity supply procurement, EMEA renewable electricity supply procurement and Mumbai solar and wind tariff.",,
,,"32 2020 Environmental, Social & Governance ReportHow We Put Our Business to Work for Our Stakeholders IN THIS SECTION Driving an Inclusive Recovery 34 Building Careers and Skills 35 Fueling Business Growth and Entrepreneurship 38 Strengthening Financial Health and Wealth Creation 41 Catalyzing Community Development 43 Accelerating Climate and Sustainability Solutions 47 33 2020 Environmental, Social & Governance ReportINTRODUCTION Driving an Inclusive Recovery JPMorgan Chase believes that our firm has a responsibility to harness our business and policy expertise, research, data, talent and global presence to help create greater economic opportunity for more people.",,
,,"The COVID-19 pandemic has caused unprecedented health and economic consequences, and also exacerbated the racial inequities around the world.",,
,,This means that there is a need to drive an inclusive recovery that breaks down barriers and creates and sustains more widespread opportunity.,,
,,"To support our communities, customers and employees, we are focusing on key drivers of economic growth: building careers and skills; fueling business growth and entrepreneurship; strengthening financial health and wealth creation; and catalyzing community development.",,
,,"Our firm has a number of longstanding initiatives aimed at strengthening these pillars of opportunity, but the pandemic, coupled with the global reckoning on systemic racism, demanded greater and accelerated change.",,
,,That is why in October 2020 we committed an additional $30 billion over the next five years to advance racial equity.,,
,,"Progress will be tracked regularly and shared with senior leadership across the firm, as well as externally with the Chase Advisory Panel, to assess performance and hold the business accountable.",,
,,Our firm is also leveraging our business and expertise to advance the transition to a lower-carbon economy and a more sustainable future.,,
,,"This includes aligning key sectors of our financing portfolio with the goals of the Paris Agreement, which aims to limit the average global temperature rise to well below 2.0 degrees Celsius above preindustrial levels to avoid the most serious consequences of climate change.",,
,,"We are also helping our clients execute on their sustainability strategies, decarbonize and raise capital to develop and scale new, greener technologies and industries.",,
,,"In 2020, we facilitated more than $220 billion in transactions that advance sustainable development, including more than $55 billion toward green initiatives (see page 52).",,
,,"$30 billion commitment to address key drivers of the racial wealth divideAdvancing Racial Equity Building on our existing investments, in 2020, JPMorgan Chase committed an additional $30 billion — which will include loans, equity and direct funding — over the next five years to address key drivers of the racial wealth divide and provide economic opportunity to underserved communities, especially the Black and Latinx communities.",,
,,"Our efforts are focused on: ] Promoting and expanding affordable housing and homeownership in underserved communities ] Growing Black- and Latinx-owned businesses ] Improving financial health and access to banking in Black and Latinx communities ] Accelerating investment in our employees and building a more diverse and inclusive workforce To support these efforts, we are drawing on the work of the JPMorgan Chase PolicyCenter and the JPMorgan Chase Institute to develop and support data-driven public policies that bolster an inclusive recovery and advance racial equity.",,
,,"And, alongside the work of our business, JPMorgan Chase will provide $2 billion in philanthropic capital as part of the $30 billion commitment to support these efforts.",,
,,This will include an emphasis on supporting Black- and Latinx-led organizations.,,
,,Learn more about our commitment at Our Path Forward.,,
,,"34 2020 Environmental, Social & Governance ReportBuilding Careers and Skills Accelerating changes in technology, automation and artificial intelligence means that the future of work is now.",,
,,"To better connect adults and young people to well-paying jobs in a transformed economy and labor market, education and training systems need to adapt and innovate to meet current and future skill demands.",,
,,"Responding to these changes is all the more urgent in light of the COVID-19 pandemic, which has worsened persistent racial inequities in the labor market that have led to significant disparities in opportunity and wealth building around the world.",,
,,"Building on our firm’s global effort to prepare people for the future of work — New Skills — in 2019, we expanded on the initial $250 million commitment we made in 2013 with a new $350 million, five-year commitment focused on creating economic mobility and career pathways for underserved populations.",,
,,"That meant that, when the pandemic hit in 2020 — and disproportionately impacted the workers of color who are overrepresented in the hardest-hit sectors and front-line roles — we were able to quickly mobilize to get resources to our longstanding nonprofit partners so they could provide support to vulnerable individuals.",,
,,"Through New Skills, JPMorgan Chase is leveraging our business, data and expertise; making targeted philanthropic investments; and advancing policy solutions to promote job stability and career mobility.",,
,,"Our efforts are focused on: ] Supporting training and skill development programs that connect workers and young people to well-paying, stable jobs with opportunities to advance ] Strengthening the capacity of community colleges, college systems and educational institutions to improve workforce and educational outcomes ] Building connections between employers and education and training providers to align skill development programs to business needs ] Applying insights from our work in the community to our own policies and practices as an employer to create more paths for career mobility within our firm and to prepare our own workforce for changes in technology and businessInvesting in Young People Expanding access to education, credentials and real-world work experiences that prepare young people for the jobs of today and tomorrow has long been a focus for our firm — but we are being even more purposeful about these investments in light of the pandemic.",,
,,"Historically, economic downturns disproportionately impact young people, especially young people of color.",,
,,"In 2020, JPMor gan Chase awarded a total of $42 million to six U.S. cities — Boston, Columbus, Dallas, Denver, Indianapolis and Nashville — as part of a $75 million global career readiness initiative.",,
,,Our firm’s $7 million commitment to each city is enabling it to formulate new cross-sector collaborations to improve student completion of high-quality career pathways and support inclusive economic recovery strategies.,,
,,We will be expanding this initiative to additional sites outside of the U.S. in 2021.,,
,,"To further these goals, and the firm’s New Skills investments, JPMorgan Chase’s PolicyCenter is developing and advancing policy recommendations to prepare students and workers for good careers and economic mobility.",,
,,"$42 million awarded to six U.S. cities in 2020 as part of JPMorgan Chase’s global career readiness initiative 35 2020 Environmental, Social & Governance ReportIn 2020, we marked the 10th anniversary of The Fellowship Initiative (TFI), a JPMorgan Chase program that provides comprehensive academic, social and emotional support to Black and Latinx young men from low-income communities.",,
,,"Over the past decade, TFI has matched more than 350 high school Fellows in New York, Chicago, Dallas and Los Angeles with JPMorgan Chase employees, who serve as mentors for three years.",,
,,"The Fellows receive coaching, academic support and leadership development that helps prepare them for college and career success.",,
,,"The program has contributed to a 100% admission rate to college among graduating Fellows, with more than half of the Fellows being the first in their family to attend college.",,
,,"As we look ahead to the next decade of TFI, we are expanding the program to several additional U.S. cities and we have committed to tripling the number of TFI Fellows to more than 1,000.",,
,,"We are also continuing our support for summer youth employment programs, which play an important role in guiding young people on a path to greater economic mobility.",,
,,"Working closely with cities and nonprofits, in 2020 our firm committed $3 million across more than 20 U.S. cities to help ensure the accessibility of summer youth employment programs during the pandemic.",,
,,"As with so much during the year, this required adopting new approaches such as virtual learning experiences and mentoring.",,
,,$3 million committed across more than 20 U.S. cities to shore up summer youth employment programs during the pandemicStrengthening the Capacity of Community Colleges Bolstering community colleges and making stronger connections between community college programs and employer needs is a key focus of our New Skills investments.,,
,,"With open admissions policies and lower costs relative to other institutions, community colleges play an important role as engines of economic mobility by providing economically and demographically diverse communities with access to career opportunities.",,
,,"In 2019, JPMorgan Chase committed $125 million in philanthropic capital to strengthen the capacity of community colleges across the U.S. We have also developed hiring programs with several community colleges and engaged extensively with their leaders and educators — and encouraged other employers to do so as well — to share insight into our skill needs and to help educators develop courses and curricula that align with those needs.",,
,,"$125+ million in philanthropic capital invested since 2019 to strengthen the capacity of community colleges across the U.S. Building on what we learned through our firm’s investments in major metropolitan community college systems in recent years — including City Colleges of Chicago, the City University of New York, Dallas County and others — we have looked to identify new ways to expand this work to other underserved areas.",,
,,"In 2020, this included developing a new program focused on strengthening the capacity of rural community college systems.",,
,,"Through a collaboration with Achieving the Dream — a nonprofit focused on increasing the academic and economic success of low-income students, students of color and other marginalized populations — we are supporting the Building Resiliency in Rural Communities for the Future of Work initiative.",,
,,"As part of this effort, seven rural community colleges have been selected to receive financial resources, technical support and access to networks to help them better train students for well-paying careers and to serve as regional economic engines in today’s digital economy.",,
,,"36 2020 Environmental, Social & Governance ReportProviding a Second Chance One in three working-age adults in the U.S. has an arrest or conviction record, creating significant barriers to employment for a substantial number of Americans.",,
,,"2 That is why one focus of our efforts to create economic mobility is giving people with criminal backgrounds across the U.S. a second chance by supporting their reentry into the workforce, community and local economies.",,
,,"Through the JPMorgan Chase PolicyCenter , we are supporting federal and state policy changes to remove barriers to employment for people with criminal backgrounds.",,
,,"Our firm supported the Fair Chance Act, which was signed into federal law in December 2019 and helps qualified workers with arrest or conviction records compete for employment in federal agencies and with federal contractors.",,
,,"We supported a measure signed into law in 2020 restoring access to Pell Grants for incarcerated individuals, which allows them to pursue post-secondary education in prison and increases employment opportunities after their release.",,
,,The firm also backed a rule change that was approved by the Federal Deposit Insurance Corporation in 2020 that makes it easier for people with convictions for certain low-risk crimes to qualify for jobs in the banking industry.,,
,,"Also, as part of JPMorgan Chase’s broader strategy to diversify our talent pipeline, we have implemented a range of changes to expand opportunities for individuals with criminal backgrounds who meet certain requirements to pursue careers within our firm, such as “banning the box” on job applications and delaying a background check until a conditional offer of employment has been made.",,
,,"In 2020, we hired approximately 2,100 individuals with criminal backgrounds, approximately 10% of our new hires in the U.S.",,
,,"In addition, we are collaborating with other employers to encourage adoption of similar practices.",,
,,"For example, we are working with Business Roundtable to convene a business coalition to highlight innovative practices that advance second chance hiring.Facilitating Career Mobility Within Our Firm JPMorgan Chase is testing and applying insights from our work in communities to create greater career mobility for our own employees.",,
,,"A key part of these efforts includes identifying the certifications, credentials and other training that will prepare employees for changes in technology and business and allow them to compete for new and in-demand roles in our firm — and then leveraging local educational institutions to offer employees access to low- or no-cost upskilling and reskilling opportunities that align with those roles.",,
,,Learn more about how JPMorgan Chase is creating opportunities for our employees to build their skills and pursue growing roles within our company on page 23 .,,
,,"~10% of JPMorgan Chase’s U.S. new hires in 2020 had a criminal background 37 2020 Environmental, Social & Governance ReportFueling Business Growth and Entrepreneurship The private sector is the primary engine of economic growth and opportunity, and JPMorgan Chase is proud to be a leader in providing the capital and expertise that businesses of all sizes need to grow and prosper.",,
,,"Small businesses play an especially vital role in fueling local economies, creating jobs and generating opportunity, and our firm has a broad range of products, services and programs designed to meet the needs of our small business customers.",,
,,We know from experience that all entrepreneurs face challenges launching and growing a business.,,
,,"However, we also know that underserved entrepreneurs, including people of color, women and veterans, face unique barriers.",,
,,"That is why, alongside our business activities, we invest philanthropic capital in organizations developing innovative approaches focused on expanding access to capital, expertise and networks for underserved entrepreneurs.",,
,,The COVID-19 pandemic — which has disproportionally impacted minority-owned businesses — underscores that these efforts are more urgent than ever.,,
,,"In 2020, our firm expanded our commitment to support minority entrepreneurs by pledging to provide an additional 15,000 loans — delivering up to $2 billion in capital — to small businesses in majority-Black and -Latinx communities over the next five years.",,
,,We also committed to spend an additional $750 million with Black and Latinx suppliers over that same period.,,
,,"And, in early 2021, we announced a new $350 million, five-year global commitment — which includes low-cost loans, equity investments and philanthropy — to grow Black, Latinx, women-owned and other underserved small businesses.",,
,,These investments are all part of our firm’s broader $30 billion commitment to advance racial equity.,,
,,"$350 million in low-cost loans, equity investments and philanthropy to grow Black, Latinx, women-owned and other underserved small businessesServing Our Small Business Customers During 2020, JPMorgan Chase originated over 800,000 small business loans for a total of $30.3 billion, an increase in capital extended of nearly 40% from the year before.",,
,,Approximately 20% of these loans were made to businesses in low- and moderate- income communities.,,
,,"The economic fallout from the COVID-19 pandemic has been devastating for U.S. small businesses, and in 2020 our firm quickly mobilized to support our customers by helping them access available government financing and providing other resources to help them weather the crisis.",,
,,"Through the Small Business Administration’s (SBA’s) Paycheck Protection Program, we delivered firmwide $32 billion in loans to small businesses ($28 billion excluding SBA safe harbor refunds), more than any other lender on a dollar basis.",,
,,"With research from the JPMorgan Chase Institute showing that Black-owned businesses were especially hard hit, our firm partnered with a coalition of business advocacy groups — the National Minority Supplier Development Council, U.S. Black Chambers, National Urban League and Black Enterprise — to launch Advancing Black Entrepreneurs by Chase for Business in 2020.",,
,,"Together, our firm and our partners developed an educational curriculum designed for and delivered at no cost to eligible entrepreneurs on key topics that are vital to business growth and sustainability.",,
,,"By the end of the year, the program reached over 1,800 attendees across the first two sessions, and work is underway to develop and deliver additional sessions in 2021.",,
,,"38 2020 Environmental, Social & Governance ReportSupporting Diverse Suppliers JPMorgan Chase is using our global purchasing power to support businesses owned and operated by historically underrepresented groups and to drive economic growth in our communities.",,
,,"Since 2015, our firm has spent approximately $11 billion with businesses owned by minorities, women, military veterans, disabled veterans, service-disabled veterans, people with disabilities and members of the LGBT+ community, including over $2 billion in 2020 alone.",,
,,"Our firm is proud to be a member of The Billion Dollar Roundtable, which recognizes excellence in supply chain diversity.",,
,,"Our commitment to supplier diversity focuses not only on seeking to do business with diverse suppliers, but also on proactively helping foster the growth and success of our suppliers’ businesses.",,
,,"We do so by offering and supporting a range of resources, including education and training workshops, mentoring and coaching programs, networking opportunities and more.",,
,,"In addition, to amplify our impact, we have a Tier 2 supplier program through which we encourage our key suppliers to establish and maintain their own diverse supply chains, as well as report their spend to us on a quarterly basis.",,
,,"We also have a dedicated effort to mobilize our Gold Suppliers — a network of over 100 companies that have achieved our top supplier designation — to promote supplier diversity programs, with an emphasis on Black- and Latinx-owned businesses.",,
,,"Our Gold Suppliers are leaders in their respective industries with their own considerable purchasing power, so we view this effort as a unique and powerful way to collectively help address racial inequities and structural barriers in supply markets.",,
,,"$2+ billion spent in 2020 with suppliers owned and operated by historically underrepresented groupsInvesting in the Success of Underserved Entrepreneurs In late 2020, our firm introduced the Minority Entrepreneur Program, a nationwide initiative designed to help entrepreneurs in historically underserved areas access coaching, technical assistance and capital.",,
,,"We launched the program first in Chicago, where we are providing Black- and Latinx-owned small businesses with one-on-one mentorship and digital education to help grow their businesses.",,
,,"We have since rolled out the program in Atlanta, Detroit, Los Angeles and Houston, and we have plans to expand it to new markets later in 2021.",,
,,"In addition, we expect to roll out lending solutions with expanded credit eligibility to business owners from historically underserved communities.",,
,,Our firm also has a variety of other longstanding programs designed to support specific groups of underserved entrepreneurs.,,
,,"For example: ] Through our Women on the Move global initiative, we have supported tens of thousands of women-owned businesses through a free digital series called Navigating Your Cash Flow, which provides small business owners with interactive tools designed to help improve their companies’ cash position and ability to find new revenue streams.",,
,,"We also launched a program that supports women-founded companies seeking venture capital funding and aims to close the gender-based funding gap by providing greater access to capital, networking opportunities and the advisory services of a world-class bank. ]",,
,,As part of Advancing Black Pathways — our firm’s initiative to accelerate economic empowerment and opportunity for the Black community — we launched the New Voices Banking Bootcamp for women of color entrepreneurs in 2020.,,
,,"Created in collaboration with the New Voices Foundation, the program provides participants with business banking and finance education, along with a $10,000 award upon completion. ]",,
,,"Through our Office of Military and Veterans Affairs, we reached more than 600 veteran-owned small businesses through two in-person and three virtual events in 2020.",,
,,"All told, since 2016, our firm has invested more than $11 million to help support training, incubation and paths to capital for veteran- owned small businesses through our work with several veteran support organizations.",,
,,"39 2020 Environmental, Social & Governance ReportExpanding the Entrepreneurs of Color Fund Since its inception in Detroit in 2015, the Entrepreneurs of Color Fund has provided over 1,200 loans and deployed more than $32 million in capital to Black, Latinx and other underserved entrepreneurs.",,
,,"The firm’s signature program has grown to include a network of 12 Community Development Financial Institutions (CDFIs) in five metro areas: Detroit; the Bay Area; South Bronx; Chicago; and the Greater Washington, D.C. area.",,
,,"In collaboration with the Local Initiatives Support Corporation and a network of CDFIs, JPMorgan Chase is contributing $42.5 million in low-cost loans and philanthropy to expand the Entrepreneurs of Color Fund, which provides access to capital and advisory services for minority entrepreneurs.",,
,,"Our firm’s commitment will help enable the Entrepreneurs of Color Fund to scale to additional cities in 2021, with the goal to create a nationwide program providing low-cost loans and technical assistance to minority-owned small businesses through our community lending partners.",,
,,"$32+ million in capital deployed to Black, Latinx and other underserved entrepreneurs through the Entrepreneurs of Color Fund Leveraging Philanthropic Capital Our firm deploys philanthropic capital to support and scale innovative efforts to help unlock the power of small business as a driver of economic opportunity and build the capacity of diverse-led nonprofits across the globe to more effectively support entrepreneurs.",,
,,"Over the past five years, our firm has provided more than $200 million in philanthropic capital, including $20 million in COVID-19 relief, to support underserved small businesses in cities around the world.",,
,,"These funds provided access to capital and technical support to more than 1 million diverse small businesses, which have raised nearly $10 billion in capital and increased revenue by an average of 22%.",,
,,"$200+ million in philanthropic capital, including $20 million in COVID-19 relief, committed to support underserved small businesses in cities around the worldStrengthening Minority-Owned and Diverse-Led Financial Institutions Our firm has committed $75 million in capital and deposits to Black- and Latinx-led Minority Depository Institutions (MDIs) and CDFIs, which provide vital financial services, help build wealth and grow local businesses in underserved communities.",,
,,"In early 2021, we announced the first $40 million in investments and commitments, including to the holding companies for Louisiana- based Liberty Bank and Trust, North Carolina-based M&F Bank, New York-based Carver Federal Savings Bank and Los Angeles- based Broadway Federal Bank.",,
,,"J.P. Morgan Asset Management also launched Empowering Change, a unique program in partnership with MDIs and diverse- led CDFIs to provide economic opportunity to underserved communities.",,
,,"The program includes a new Empower share class offered across J.P. Morgan Asset Management’s money market funds, allowing MDIs and CDFIs to engage with institutional clients and generate new revenue streams.",,
,,"J.P. Morgan Asset Management will donate 12.5% of revenue received for management of the Empower share class to support community development and will provide access to the firm’s breadth of resources, including training, education and marketing, as well as its digital investment platform, Morgan Money.",,
